  18 para: '1001010000101111000000101000011111010010100111011000101010010010110001110101110101010100010001010001' (0.996) =  45
  19 host: '1000110101100001011011010111011100111010011001111001010100000011100000001010100100001110100101001011' (1.000) =  47
  19 para: '0001011000101011000000101010011111111010000111011100101010001110101001100101111101010100000001010001' (0.999) =  47
  20 host: '1001110110101001010011010101111100000010101011101101111100010111111100001000011010000110010110010001' (1.000) =  51
  20 para: '0111110000011011000100111010010111110010100111000110101011010010101001010111111001010110000001010001' (0.996) =  50
  21 host: '1000110111101001010011010101011101000001101011101101110100010111111100001000011010001110010110000001' (1.000) =  50
  21 para: '0111110000011011000100111010010111111010100111000110101011110010101001010111111001010110000001010001' (0.999) =  52
  22 host: '1100110111101001010011110101011100000001101011101101111110010111011100001000011011001110011110010001' (1.000) =  55
  22 para: '0011010010011011000100111010010111011110110111001110101001111010100001010101111101010111000001010001' (0.999) =  53
  23 host: '1010110111101001010111010101011100000000101111111101111100000111111100001000111010011110011110000001' (1.000) =  55
  23 para: '0111110000011011000100111010010111110010100111010110101011010111101001010111111001010110000001010101' (0.996) =  54
  24 host: '1010110111101001010111010101011100100011101011101101111110010111011101001000011010001110111110010001' (1.000) =  58
  24 para: '0111110000011011000100101010110111110010100111110110101011010110101001010111111001010111001011010001' (0.996) =  56
  25 host: '1100110111101001010011110101011100000001101011101111111110011111011100001010011011001110001110010001' (1.000) =  57
  25 para: '0111110000111011100100111010010111111011101111100110101011100010101001110111111001010111000001010001' (0.996) =  58
  26 host: '1010110111101001010111010101111100100011101011101101111110110111011101001000011110001110111110010001' (1.000) =  61
  26 para: '0111111000011011010100111010010111111010100111000110101110100010101001111111111011010111100001010001' (0.996) =  58
  27 host: '1010010111111001010111010101011110100011101011101101111110010111011101101000011010001110111110010001' (1.000) =  60
  27 para: '1001010000101111101100101001011111010011101111011001101011000010110001110111111101110111011001011101' (0.996) =  60
  28 host: '1000110111111001010111010101001100100001111011101111110110111111011101001011011010001111011110010101' (1.000) =  62
