 254: max:0.786, min:0.643, mean:0.729
 255: max:0.786, min:0.607, mean:0.730
 256: max:0.786, min:0.607, mean:0.725
 257: max:0.786, min:0.607, mean:0.717
 258: max:0.786, min:0.607, mean:0.711
 259: max:0.786, min:0.607, mean:0.713
 260: max:0.750, min:0.607, mean:0.706
 261: max:0.750, min:0.607, mean:0.694
 262: max:0.750, min:0.571, mean:0.690
 263: max:0.750, min:0.571, mean:0.689
 264: max:0.750, min:0.571, mean:0.691
 265: max:0.750, min:0.571, mean:0.683
 266: max:0.750, min:0.536, mean:0.688
 267: max:0.750, min:0.571, mean:0.687
 268: max:0.750, min:0.571, mean:0.685
 269: max:0.750, min:0.571, mean:0.685
 270: max:0.750, min:0.607, mean:0.689
 271: max:0.750, min:0.536, mean:0.683
 272: max:0.750, min:0.571, mean:0.685
 273: max:0.750, min:0.500, mean:0.687
 274: max:0.750, min:0.536, mean:0.687
 275: max:0.750, min:0.571, mean:0.689
 276: max:0.750, min:0.536, mean:0.690
 277: max:0.750, min:0.571, mean:0.690
 278: max:0.750, min:0.571, mean:0.686
 279: max:0.750, min:0.536, mean:0.677
 280: max:0.786, min:0.500, mean:0.681
 281: max:0.750, min:0.571, mean:0.683
 282: max:0.750, min:0.571, mean:0.675
 283: max:0.714, min:0.571, mean:0.667
 284: max:0.714, min:0.536, mean:0.656
 285: max:0.750, min:0.536, mean:0.649
 286: max:0.750, min:0.536, mean:0.643
 287: max:0.750, min:0.536, mean:0.645
 288: max:0.750, min:0.571, mean:0.647
 289: max:0.750, min:0.500, mean:0.646
 290: max:0.750, min:0.500, mean:0.639
 291: max:0.714, min:0.500, mean:0.631
 292: max:0.714, min:0.429, mean:0.630
 293: max:0.714, min:0.536, mean:0.635
 294: max:0.714, min:0.500, mean:0.629
 295: max:0.714, min:0.500, mean:0.640
 296: max:0.714, min:0.536, mean:0.643
 297: max:0.714, min:0.536, mean:0.641
 298: max:0.679, min:0.500, mean:0.626
 299: max:0.679, min:0.536, mean:0.625
 300: max:0.679, min:0.500, mean:0.626
 301: max:0.679, min:0.536, mean:0.622
 302: max:0.679, min:0.500, mean:0.627
 303: max:0.679, min:0.536, mean:0.624
 304: max:0.679, min:0.536, mean:0.621
 305: max:0.679, min:0.536, mean:0.617
 306: max:0.679, min:0.500, mean:0.616
 307: max:0.679, min:0.536, mean:0.621
 308: max:0.714, min:0.536, mean:0.621
 309: max:0.714, min:0.536, mean:0.625
 310: max:0.714, min:0.500, mean:0.624
 311: max:0.714, min:0.500, mean:0.628
 312: max:0.714, min:0.500, mean:0.629
 313: max:0.714, min:0.536, mean:0.632
 314: max:0.714, min:0.536, mean:0.625
 315: max:0.714, min:0.500, mean:0.617
 316: max:0.714, min:0.500, mean:0.617
 317: max:0.714, min:0.500, mean:0.621
 318: max:0.714, min:0.500, mean:0.624
 319: max:0.714, min:0.500, mean:0.629
 320: max:0.714, min:0.536, mean:0.634
 321: max:0.714, min:0.464, mean:0.641
 322: max:0.679, min:0.536, mean:0.634
 323: max:0.679, min:0.536, mean:0.633
 324: max:0.679, min:0.500, mean:0.632
 325: max:0.714, min:0.536, mean:0.643
 326: max:0.714, min:0.536, mean:0.636
 327: max:0.679, min:0.536, mean:0.637
 328: max:0.679, min:0.571, mean:0.632
 329: max:0.679, min:0.500, mean:0.627
 330: max:0.714, min:0.464, mean:0.620
 331: max:0.679, min:0.536, mean:0.631
 332: max:0.679, min:0.464, mean:0.624
 333: max:0.679, min:0.536, mean:0.629
 334: max:0.714, min:0.500, mean:0.629
 335: max:0.714, min:0.536, mean:0.631
 336: max:0.714, min:0.536, mean:0.632
 337: max:0.714, min:0.536, mean:0.629
 338: max:0.714, min:0.464, mean:0.630
 339: max:0.714, min:0.536, mean:0.631
 340: max:0.714, min:0.536, mean:0.636
 341: max:0.714, min:0.536, mean:0.630
 342: max:0.714, min:0.500, mean:0.626
